brnd_name,gnrc_name,mftr_name,tot_mftr,year,cagr_avg_spnd_per_dsg_unt_19_23,chg_avg_spnd_per_dsg_unt_22_23,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,tot_spndng_log
abiraterone acetate,Abiraterone Acetate,northstar rx ll,1,2023,0.025553791,-0.121431895,62034001.5,2546049.0,23552,6327.0,27.28747487,2633.916504,9804.646989,0,17.943193220097363
abiraterone acetate,Abiraterone Acetate,avkare,1,2019,-0.147712275,0.000832964,395384.44,7130.0,60,43.0,55.45363815,6589.740667,9194.986977,0,12.887616365570748
abiraterone acetate,Abiraterone Acetate,avkare,1,2020,-0.147712275,0.000832964,1273345.73,34246.0,292,101.0,37.18231998,4360.773048,12607.38347,0,14.057159212801713
abiraterone acetate,Abiraterone Acetate,avkare,1,2022,-0.147712275,0.000832964,1030143.94,210455.0,4039,1566.0,2.228294388,116.4894737,289.8274169,0,13.84521006875251
abiraterone acetate,Abiraterone Acetate,avkare,1,2023,-0.147712275,0.000832964,363204.93,12413.0,109,70.0,29.26004431,3332.155321,5188.641857,0,12.8027252526685
abiraterone acetate,Abiraterone Acetate,novugen pharma,1,2019,0.608521296,0.608521296,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,novugen pharma,1,2020,0.608521296,0.608521296,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abiraterone acetate,Abiraterone Acetate,novugen pharma,1,2021,0.608521296,0.608521296,1140251.52,251918.0,4719,1757.0,2.067207152,111.5126886,285.6825333,0,13.946760304613163
abiraterone acetate,Abiraterone Acetate,novugen pharma,1,2022,0.608521296,0.608521296,669762.06,13840.0,140,68.0,60.84302094,4784.014714,9849.442059,0,13.414679287030099
abiraterone acetate,Abiraterone Acetate,novugen pharma,1,2023,0.608521296,0.608521296,107836867.1,1144387.0,18302,3786.0,97.86729491,5892.081037,28483.06052,0,18.496130162607134
abiraterone acetate,Abiraterone Acetate,novadoz pharmac,1,2019,-0.148808005,-0.182005176,20635781.2,564258.0,4957,2138.0,36.57153501,4162.957676,9651.908887,0,16.84253712691998
abiraterone acetate,Abiraterone Acetate,novadoz pharmac,1,2020,-0.148808005,-0.182005176,182376285.6,6169405.0,54225,12624.0,29.56140593,3363.324769,14446.79068,0,19.021582619477336
abiraterone acetate,Abiraterone Acetate,novadoz pharmac,1,2021,-0.148808005,-0.182005176,233618611.2,9414775.0,84087,15670.0,24.81404082,2778.296421,14908.65419,0,19.26920048125812
abiraterone acetate,Abiraterone Acetate,novadoz pharmac,1,2022,-0.148808005,-0.182005176,216361472.7,9218859.0,82563,16102.0,23.46944158,2620.562149,13436.93161,0,19.192461056277267
abiraterone acetate,Abiraterone Acetate,amneal pharmace,1,2019,0.172457741,0.340325554,20386448.34,439622.0,3774,1234.0,46.37267548,5401.814611,16520.62264,0,16.830380990064757
abiraterone acetate,Abiraterone Acetate,amneal pharmace,1,2020,0.172457741,0.340325554,24080851.95,967757.0,8438,2263.0,24.88315967,2853.85778,10641.11885,0,16.996927599289194
abiraterone acetate,Abiraterone Acetate,amneal pharmace,1,2021,0.172457741,0.340325554,98437342.1,1807128.0,20654,4355.0,72.58365181,4766.018306,22603.29325,0,18.404930793078194
abiraterone acetate,Abiraterone Acetate,amneal pharmace,1,2022,0.172457741,0.340325554,93297676.03,1882144.0,21766,5237.0,65.37935763,4286.395113,17815.09949,0,18.351305767651237
